* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: 21.3.2023 15:30:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MM1 SPL
* Measurement: MM1 AVG
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
198.486344	63.287	101.4424
198.852555	63.385	99.2141
199.218766	63.478	97.0044
199.584977	63.566	94.8123
199.951188	63.648	92.6362
200.317399	63.725	90.4753
200.683610	63.797	88.3291
201.049821	63.863	86.1970
201.416032	63.923	84.0789
201.782243	63.979	81.9741
202.148454	64.028	79.8833
202.514665	64.072	77.8064
202.880876	64.111	75.7438
203.247087	64.145	73.6958
203.613298	64.173	71.6630
203.979509	64.195	69.6458
204.345720	64.212	67.6450
204.711931	64.224	65.6613
205.078142	64.231	63.6951
205.444352	64.232	61.7472
205.810563	64.229	59.8184
206.176774	64.220	57.9089
206.542985	64.206	56.0198
206.909196	64.188	54.1511
207.275407	64.164	52.3036
207.641618	64.136	50.4775
208.007829	64.103	48.6731
208.374040	64.066	46.8905
208.740251	64.024	45.1298
209.106462	63.978	43.3909
209.472673	63.927	41.6736
209.838884	63.873	39.9775
210.205095	63.814	38.3025
210.571306	63.752	36.6478
210.937517	63.686	35.0127
211.303728	63.616	33.3964
211.669939	63.543	31.7980
212.036150	63.466	30.2164
212.402361	63.386	28.6504
212.768572	63.302	27.0988
213.134783	63.216	25.5599
213.500994	63.127	24.0326
213.867205	63.034	22.5148
214.233416	62.940	21.0049
214.599627	62.842	19.5009
214.965838	62.742	18.0009
215.332049	62.640	16.5027
215.698260	62.535	15.0040
216.064471	62.428	13.5026
216.430681	62.320	11.9960
216.796892	62.209	10.4817
217.163103	62.097	8.9569
217.529314	61.983	7.4191
217.895525	61.867	5.8654
218.261736	61.751	4.2928
218.627947	61.633	2.6986
218.994158	61.514	1.0796
219.360369	61.395	-0.5673
219.726580	61.274	-2.2452
220.092791	61.153	-3.9574
220.459002	61.032	-5.7072
220.825213	60.911	-7.4977
221.191424	60.790	-9.3323
221.557635	60.669	-11.2144
221.923846	60.549	-13.1473
222.290057	60.429	-15.1345
222.656268	60.310	-17.1793
223.022479	60.193	-19.2850
223.388690	60.077	-21.4550
223.754901	59.963	-23.6925
224.121112	59.852	-26.0006
224.487323	59.742	-28.3824
224.853534	59.635	-30.8409
225.219745	59.532	-33.3789
225.585956	59.431	-35.9990
225.952167	59.335	-38.7036
226.318378	59.242	-41.4951
226.684589	59.154	-44.3752
227.050800	59.070	-47.3457
227.417011	58.992	-50.4078
227.783221	58.918	-53.5626
228.149432	58.850	-56.8107
228.515643	58.788	-60.1521
228.881854	58.732	-63.5867
229.248065	58.682	-67.1136
229.614276	58.638	-70.7318
229.980487	58.601	-74.4395
230.346698	58.570	-78.2343
230.712909	58.546	-82.1135
231.079120	58.529	-86.0740
231.445331	58.518	-90.1118
231.811542	58.513	-94.2229
232.177753	58.515	-98.4023
232.543964	58.523	-102.6450
232.910175	58.538	-106.9454
233.276386	58.558	-111.2976
233.642597	58.584	-115.6951
234.008808	58.615	-120.1315
234.375019	58.651	-124.5999
234.741230	58.692	-129.0936
235.107441	58.737	-133.6052
235.473652	58.787	-138.1276
235.839863	58.840	-142.6538
236.206074	58.897	-147.1765
236.572285	58.957	-151.6886
236.938496	59.019	-156.1837
237.304707	59.085	-160.6544
237.670918	59.152	-165.0946
238.037129	59.221	-169.4984
238.403340	59.292	-173.8594
238.769551	59.365	-178.1720
239.135761	59.438	177.5684
239.501972	59.512	173.3671
239.868183	59.587	169.2285
240.234394	59.662	165.1562
240.600605	59.738	161.1544
240.966816	59.814	157.2263
241.333027	59.889	153.3741
241.699238	59.965	149.6008
242.065449	60.040	145.9084
242.431660	60.114	142.2982
242.797871	60.188	138.7719
243.164082	60.261	135.3303
243.530293	60.334	131.9739
243.896504	60.405	128.7032
244.262715	60.476	125.5184
244.628926	60.546	122.4191
244.995137	60.615	119.4049
245.361348	60.682	116.4753
245.727559	60.748	113.6294
246.093770	60.814	110.8662
246.459981	60.878	108.1844
246.826192	60.940	105.5829
247.192403	61.002	103.0602
247.558614	61.062	100.6149
247.924825	61.120	98.2452
248.291036	61.178	95.9497
248.657247	61.234	93.7267
249.023458	61.288	91.5741
249.389669	61.341	89.4907
249.755880	61.393	87.4740
250.122090	61.444	85.5228
250.488301	61.493	83.6351
250.854512	61.540	81.8088
251.220723	61.587	80.0426
251.586934	61.632	78.3345
251.953145	61.676	76.6825
252.319356	61.718	75.0850
252.685567	61.759	73.5405
253.051778	61.800	72.0468
253.417989	61.839	70.6025
253.784200	61.876	69.2061
254.150411	61.913	67.8556
254.516622	61.949	66.5494
254.882833	61.984	65.2861
255.249044	62.018	64.0641
255.615255	62.051	62.8816
255.981466	62.083	61.7372
256.347677	62.114	60.6292
256.713888	62.145	59.5562
257.080099	62.175	58.5165
257.446310	62.204	57.5087
257.812521	62.233	56.5312
258.178732	62.261	55.5825
258.544943	62.289	54.6611
258.911154	62.316	53.7654
259.277365	62.343	52.8939
259.643576	62.370	52.0450
260.009787	62.396	51.2172
260.375998	62.422	50.4091
260.742209	62.448	49.6189
261.108420	62.473	48.8453
261.474630	62.498	48.0869
261.840841	62.523	47.3419
262.207052	62.548	46.6091
262.573263	62.572	45.8871
262.939474	62.596	45.1742
263.305685	62.620	44.4692
263.671896	62.643	43.7709
264.038107	62.666	43.0779
264.404318	62.689	42.3888
264.770529	62.711	41.7026
265.136740	62.733	41.0183
265.502951	62.754	40.3345
265.869162	62.775	39.6504
266.235373	62.795	38.9651
266.601584	62.814	38.2776
266.967795	62.832	37.5870
267.334006	62.850	36.8927
267.700217	62.867	36.1940
268.066428	62.883	35.4901
268.432639	62.897	34.7806
268.798850	62.911	34.0649
269.165061	62.924	33.3425
269.531272	62.936	32.6129
269.897483	62.946	31.8760
270.263694	62.955	31.1311
270.629905	62.963	30.3781
270.996116	62.970	29.6166
271.362327	62.975	28.8464
271.728538	62.979	28.0673
272.094749	62.981	27.2791
272.460959	62.982	26.4813
272.827170	62.982	25.6741
273.193381	62.980	24.8571
273.559592	62.977	24.0299
273.925803	62.972	23.1925
274.292014	62.966	22.3446
274.658225	62.958	21.4858
275.024436	62.949	20.6160
275.390647	62.939	19.7346
275.756858	62.927	18.8413
276.123069	62.914	17.9359
276.489280	62.900	17.0176
276.855491	62.884	16.0861
277.221702	62.867	15.1406
277.587913	62.849	14.1808
277.954124	62.830	13.2057
278.320335	62.810	12.2147
278.686546	62.788	11.2070
279.052757	62.766	10.1818
279.418968	62.743	9.1378
279.785179	62.718	8.0743
280.151390	62.693	6.9904
280.517601	62.668	5.8845
280.883812	62.641	4.7557
281.250023	62.614	3.6027
281.616234	62.586	2.4242
281.982445	62.558	1.2189
282.348656	62.529	-0.0146
282.714867	62.500	-1.2778
283.081078	62.471	-2.5723
283.447289	62.441	-3.8992
283.813499	62.411	-5.2603
284.179710	62.380	-6.6571
284.545921	62.349	-8.0911
284.912132	62.318	-9.5637
285.278343	62.287	-11.0767
285.644554	62.256	-12.6313
286.010765	62.225	-14.2292
286.376976	62.193	-15.8717
286.743187	62.161	-17.5603
287.109398	62.129	-19.2963
287.475609	62.097	-21.0808
287.841820	62.065	-22.9154
288.208031	62.033	-24.8009
288.574242	62.000	-26.7386
288.940453	61.968	-28.7295
289.306664	61.935	-30.7743
289.672875	61.902	-32.8739
290.039086	61.869	-35.0291
290.405297	61.835	-37.2404
290.771508	61.802	-39.5082
291.137719	61.768	-41.8331
291.503930	61.733	-44.2153
291.870141	61.699	-46.6549
292.236352	61.664	-49.1519
292.602563	61.629	-51.7063
292.968774	61.594	-54.3177
293.334985	61.558	-56.9861
293.701196	61.522	-59.7107
294.067407	61.486	-62.4910
294.433618	61.450	-65.3264
294.799828	61.413	-68.2158
295.166039	61.376	-71.1584
295.532250	61.340	-74.1532
295.898461	61.303	-77.1987
296.264672	61.266	-80.2937
296.630883	61.230	-83.4368
296.997094	61.193	-86.6261
297.363305	61.157	-89.8601
297.729516	61.121	-93.1370
298.095727	61.086	-96.4546
298.461938	61.051	-99.8110
298.828149	61.016	-103.2040
299.194360	60.983	-106.6313
299.560571	60.950	-110.0906
299.926782	60.918	-113.5793
300.292993	60.888	-117.0948
300.659204	60.858	-120.6346
301.025415	60.830	-124.1959
301.391626	60.803	-127.7759
301.757837	60.778	-131.3716
302.124048	60.754	-134.9803
302.490259	60.732	-138.5990
302.856470	60.712	-142.2246
303.222681	60.694	-145.8541
303.588892	60.678	-149.4846
303.955103	60.664	-153.1130
304.321314	60.652	-156.7363
304.687525	60.642	-160.3516
305.053736	60.635	-163.9557
305.419947	60.630	-167.5459
305.786158	60.627	-171.1193
306.152368	60.627	-174.6731
306.518579	60.630	-178.2046
306.884790	60.634	178.2888
307.251001	60.641	174.8097
307.617212	60.651	171.3604
307.983423	60.663	167.9430
308.349634	60.677	164.5601
308.715845	60.694	161.2133
309.082056	60.712	157.9047
309.448267	60.733	154.6360
309.814478	60.757	151.4088
310.180689	60.782	148.2247
310.546900	60.809	145.0850
310.913111	60.838	141.9907
311.279322	60.869	138.9431
311.645533	60.901	135.9430
312.011744	60.935	132.9912
312.377955	60.971	130.0883
312.744166	61.008	127.2349
313.110377	61.046	124.4313
313.476588	61.086	121.6779
313.842799	61.126	118.9747
314.209010	61.167	116.3220
314.575221	61.210	113.7196
314.941432	61.253	111.1675
315.307643	61.296	108.6654
315.673854	61.340	106.2131
316.040065	61.385	103.8102
316.406276	61.430	101.4561
316.772487	61.475	99.1505
317.138698	61.521	96.8928
317.504908	61.566	94.6824
317.871119	61.612	92.5186
318.237330	61.657	90.4006
318.603541	61.702	88.3279
318.969752	61.747	86.2996
319.335963	61.792	84.3148
319.702174	61.836	82.3728
320.068385	61.880	80.4728
320.434596	61.924	78.6138
320.800807	61.967	76.7948
321.167018	62.009	75.0153
321.533229	62.051	73.2740
321.899440	62.092	71.5703
322.265651	62.132	69.9031
322.631862	62.172	68.2715
322.998073	62.211	66.6747
323.364284	62.249	65.1117
323.730495	62.286	63.5817
324.096706	62.322	62.0836
324.462917	62.358	60.6169
324.829128	62.392	59.1805
325.195339	62.426	57.7737
325.561550	62.458	56.3955
325.927761	62.490	55.0452
326.293972	62.520	53.7219
326.660183	62.549	52.4250
327.026394	62.578	51.1538
327.392605	62.605	49.9073
327.758816	62.631	48.6851
328.125027	62.656	47.4862
328.491237	62.680	46.3102
328.857448	62.703	45.1564
329.223659	62.724	44.0239
329.589870	62.745	42.9126
329.956081	62.764	41.8215
330.322292	62.782	40.7504
330.688503	62.799	39.6984
331.054714	62.815	38.6652
331.420925	62.830	37.6503
331.787136	62.843	36.6532
332.153347	62.855	35.6735
332.519558	62.866	34.7108
332.885769	62.876	33.7646
333.251980	62.884	32.8346
333.618191	62.892	31.9205
333.984402	62.898	31.0219
334.350613	62.903	30.1384
334.716824	62.906	29.2699
335.083035	62.909	28.4159
335.449246	62.910	27.5764
335.815457	62.910	26.7510
336.181668	62.909	25.9395
336.547879	62.906	25.1417
336.914090	62.902	24.3575
337.280301	62.897	23.5867
337.646512	62.891	22.8291
338.012723	62.884	22.0846
338.378934	62.875	21.3531
338.745145	62.865	20.6345
339.111356	62.854	19.9287
339.477567	62.842	19.2355
339.843777	62.828	18.5549
340.209988	62.813	17.8870
340.576199	62.797	17.2316
340.942410	62.780	16.5885
341.308621	62.762	15.9580
341.674832	62.742	15.3397
342.041043	62.721	14.7339
342.407254	62.700	14.1404
342.773465	62.677	13.5592
343.139676	62.653	12.9902
343.505887	62.627	12.4337
343.872098	62.601	11.8893
344.238309	62.574	11.3572
344.604520	62.545	10.8372
